userName,score,at,content
Pengguna Google,5,2026-06-01 04:08:46,bagussss bangettt
Pengguna Google,5,2026-06-01 04:03:05,dengerin lagu lebih gampang apk nya
Pengguna Google,5,2026-06-01 03:55:57,bagus
Pengguna Google,5,2026-06-01 03:42:36,sangat bagus
Pengguna Google,1,2026-06-01 03:34:49,terlalu banyak iklan
Pengguna Google,5,2026-06-01 03:34:24,aplikasi yahudi full iklan Cok dikit dikit iklan
Pengguna Google,1,2026-06-01 03:33:05,"anjr apk kikir kebelet haji, iklan banyak bet juanco prasaan dlu kagak etdah buset. udh mah boikot, jirlah. itaiyo itaiyo"
Pengguna Google,4,2026-06-01 03:30:50,bagus lagu nya juga enak di dengar tapi KENAPA GABISA DI ULANG OI KENAPAAAAAAA
Pengguna Google,2,2026-06-01 03:30:03,"kikir, mau pilih lagu aja disuruh bayar"
Pengguna Google,5,2026-06-01 03:24:54,bgus
Pengguna Google,5,2026-06-01 03:18:42,aku suka dengerin lagu and lagu disini seru seru
Pengguna Google,5,2026-06-01 03:17:51,tidak ada Maslah semuanya bagus saya suka😊
Pengguna Google,5,2026-06-01 03:17:25,"suka bangett, setiap belajar dengerin lagu dari spotify"
Pengguna Google,5,2026-06-01 03:16:29,BAGUS BANGET MIN❤️‍🔥💖💖🤭
Pengguna Google,5,2026-06-01 03:10:48,baguss
Pengguna Google,1,2026-06-01 02:56:36,WOI KURANGIN IKLAN LU GILA
Pengguna Google,5,2026-06-01 02:55:00,aplikasi Nya bagus' banget. mantap
Pengguna Google,4,2026-06-01 02:48:55,min kalo bisa tambahkan fitur like lagu min
Pengguna Google,5,2026-06-01 02:30:08,enak banget musiknya
Pengguna Google,4,2026-06-01 02:28:08,lagunya banyak tapi banyakan iklan😭😭😭
Pengguna Google,4,2026-06-01 02:25:09,lumayan lagunya cukup lengkap
Pengguna Google,5,2026-06-01 02:22:34,good
Pengguna Google,3,2026-06-01 02:19:41,enak pake main game
Pengguna Google,3,2026-06-01 02:19:21,"setelah sekian lama semakin mahal, mungkin saya yg lelah…"
Pengguna Google,3,2026-06-01 01:55:56,Bahia banyan lagu Yb seen Dan ngeset
Pengguna Google,5,2026-06-01 01:47:35,in another life
Pengguna Google,1,2026-06-01 01:33:14,boikot
Pengguna Google,4,2026-06-01 01:30:06,Bagus
Pengguna Google,1,2026-06-01 01:24:15,Ga bisa geratis dan selalu bayar setiap setel lagu ada aja iklan dan selalu di batasin 1 lagu 1 klan
Pengguna Google,5,2026-06-01 01:24:01,💅👍
Pengguna Google,1,2026-06-01 01:21:43,"saya sudah lama menggunakan aplikasi ini, tapi sekarang ini aplikasi benar benar kikir, sekarang apa apa perlu premium, saya tau saya menggunakan gratis, tapi sekarang aja iklan nya lebih lama dari sebelumnya, iklan sekarang juga sering banget muncul nya, setiap 1 atau 2 lagu selalu muncul iklan, dah gitu panjang banget"
Pengguna Google,5,2026-06-01 01:21:05,bagus
Pengguna Google,5,2026-06-01 01:12:55,𝐛𝐚𝐠𝐮𝐬
Pengguna Google,1,2026-06-01 00:54:02,iklan mulu miskin
Pengguna Google,5,2026-06-01 00:53:02,sukaa alagunya enak bangett
Pengguna Google,5,2026-06-01 00:48:35,bagus tak banyak iklan
Pengguna Google,3,2026-06-01 00:45:45,"kok skrng Spotify gua rusak😞,gua jd gbs denger lagu😔😔"
Pengguna Google,5,2026-06-01 00:36:05,sangat baik
Pengguna Google,4,2026-06-01 00:33:02,"lumayan tapi, kalo mau bebas mutar lagu harus premium"
Pengguna Google,5,2026-06-01 00:30:02,"Aplikasi ini sangat memudahkan saya mendengar lagu2 kesukaan ku, saya beri bintang 5. aplikasi ini sangat menghibur di saat kerja dan santai2."
Pengguna Google,5,2026-06-01 00:21:42,"aplikasi bagus untuk mendengarkan musik, semoga lebih bagus lagi kedepannya."
Pengguna Google,5,2026-06-01 00:09:25,bagus
Pengguna Google,1,2026-06-01 00:01:23,Beli premium gagal terus . gabisa dibuka
Pengguna Google,5,2026-05-31 23:46:55,bagus
Pengguna Google,5,2026-05-31 23:36:37,sangat bagus sekali
Pengguna Google,1,2026-05-31 22:58:25,"spotify ga bisa dibuka, saat di instal ulang, hanya memperlihatkan layar kosong"
Pengguna Google,5,2026-05-31 22:48:06,bagusss
Pengguna Google,5,2026-05-31 22:42:08,keren
Pengguna Google,1,2026-05-31 22:11:14,STOP IKLAN RONI PAROLIAN HANJENG. NYEBELIN 4 IKLAN BERTURUT² SAMPE MUAK GUA
Pengguna Google,5,2026-05-31 22:00:49,musik streaming paling bagus .... sip
Pengguna Google,5,2026-05-31 21:50:41,gooood
Pengguna Google,1,2026-05-31 21:05:18,pliss kurangin iklan
Pengguna Google,5,2026-05-31 21:03:46,"oke, tapi kikir bye"
Pengguna Google,4,2026-05-31 20:20:49,"baguss si bagus, tapi banyak banget iklan nya anjirr aku si pengguna gratisan gabisa marah soal ini😭 KURANGIN IKLAS NYA PLS, DEMI AKU!"
Pengguna Google,5,2026-05-31 19:58:56,mantal sekali ....
Pengguna Google,4,2026-05-31 19:41:27,Keluhan sedikit. Saat mau menambahkan lagu ke playlist kadang tidak bisa dan harus mengulanginya supaya lagunya berada di playlist yang diinginkan
Pengguna Google,5,2026-05-31 19:41:22,aplikasinya bagus dan bisa dengerin musik sambil ngapain aja tapi yang bikin aku badmood adalah iklannya yang kebanyakan.. jadi tolong yaa iklan nya dikurangin.. kalo mau iklan oke gak papa asalkan tidak lama banget.. TAPI INI IKLANNYA ASTAGHFIRULLAHALADZIM MASA SAYA DAPAT BANYAK BANGET UDAH 3 TAPI DURASINYA NAUZUBILLAH dan saya minta tolong banget untuk kurangin ya makasih🙏
Pengguna Google,4,2026-05-31 19:05:06,ada waktu Nya
Pengguna Google,5,2026-05-31 19:02:29,Good
Pengguna Google,1,2026-05-31 18:36:06,"apk GK jelas,,lagi dengerin musik sambil ngegame malah .ati sendiri"
Pengguna Google,1,2026-05-31 18:17:28,"Buat kaum mendang mendung, kalo mau Musikan jngan pke ini sii menurutku, iklannya 4× itu juga baru 1 lagu langsung iklan lagii"
Pengguna Google,5,2026-05-31 18:12:56,bank lagunya kaya bgt...saya sangat suka
Pengguna Google,5,2026-05-31 18:07:13,Sangatt bagus dan terpercaya
Pengguna Google,4,2026-05-31 17:36:09,lumayan
Pengguna Google,1,2026-05-31 17:24:23,"makin sering dengerin iklan makin banyak, tiap 1 lagu 4 iklan"
Pengguna Google,4,2026-05-31 17:22:51,Bagus bngnt aplikasinya
Pengguna Google,5,2026-05-31 17:18:51,kumplit musik ya
Pengguna Google,1,2026-05-31 17:08:31,qiqir bats lu anjink😹
Pengguna Google,5,2026-05-31 16:58:07,sangat bagus
Pengguna Google,2,2026-05-31 16:36:53,plisss kenapaa ya spotify aku udh 4 hari setiap klik spotify kaya ngelag item gitu ini apk lagi bermasalah atau gmn udh coba di hapus trus install lagi ttp aja smaaaa sedihh bgt ga bisa dengerin musik....
