content,sentiment
bagussss bangettt,1
dengerin lagu lebih gampang apk nya,1
bagus,1
sangat bagus,1
terlalu banyak iklan,0
aplikasi yahudi full iklan Cok dikit dikit iklan,1
"anjr apk kikir kebelet haji, iklan banyak bet juanco prasaan dlu kagak etdah buset. udh mah boikot, jirlah. itaiyo itaiyo",0
bagus lagu nya juga enak di dengar tapi KENAPA GABISA DI ULANG OI KENAPAAAAAAA,1
"kikir, mau pilih lagu aja disuruh bayar",0
bgus,1
aku suka dengerin lagu and lagu disini seru seru,1
tidak ada Maslah semuanya bagus saya suka😊,1
"suka bangett, setiap belajar dengerin lagu dari spotify",1
BAGUS BANGET MIN❤️‍🔥💖💖🤭,1
baguss,1
WOI KURANGIN IKLAN LU GILA,0
aplikasi Nya bagus' banget. mantap,1
min kalo bisa tambahkan fitur like lagu min,1
enak banget musiknya,1
lagunya banyak tapi banyakan iklan😭😭😭,1
lumayan lagunya cukup lengkap,1
good,1
enak pake main game,1
"setelah sekian lama semakin mahal, mungkin saya yg lelah…",1
Bahia banyan lagu Yb seen Dan ngeset,1
in another life,1
boikot,0
Bagus,1
Ga bisa geratis dan selalu bayar setiap setel lagu ada aja iklan dan selalu di batasin 1 lagu 1 klan,0
💅👍,1
"saya sudah lama menggunakan aplikasi ini, tapi sekarang ini aplikasi benar benar kikir, sekarang apa apa perlu premium, saya tau saya menggunakan gratis, tapi sekarang aja iklan nya lebih lama dari sebelumnya, iklan sekarang juga sering banget muncul nya, setiap 1 atau 2 lagu selalu muncul iklan, dah gitu panjang banget",0
bagus,1
𝐛𝐚𝐠𝐮𝐬,1
iklan mulu miskin,0
sukaa alagunya enak bangett,1
bagus tak banyak iklan,1
"kok skrng Spotify gua rusak😞,gua jd gbs denger lagu😔😔",1
sangat baik,1
"lumayan tapi, kalo mau bebas mutar lagu harus premium",1
"Aplikasi ini sangat memudahkan saya mendengar lagu2 kesukaan ku, saya beri bintang 5. aplikasi ini sangat menghibur di saat kerja dan santai2.",1
"aplikasi bagus untuk mendengarkan musik, semoga lebih bagus lagi kedepannya.",1
bagus,1
Beli premium gagal terus . gabisa dibuka,0
bagus,1
sangat bagus sekali,1
"spotify ga bisa dibuka, saat di instal ulang, hanya memperlihatkan layar kosong",0
bagusss,1
keren,1
STOP IKLAN RONI PAROLIAN HANJENG. NYEBELIN 4 IKLAN BERTURUT² SAMPE MUAK GUA,0
musik streaming paling bagus .... sip,1
gooood,1
pliss kurangin iklan,0
"oke, tapi kikir bye",1
"baguss si bagus, tapi banyak banget iklan nya anjirr aku si pengguna gratisan gabisa marah soal ini😭 KURANGIN IKLAS NYA PLS, DEMI AKU!",1
mantal sekali ....,1
Keluhan sedikit. Saat mau menambahkan lagu ke playlist kadang tidak bisa dan harus mengulanginya supaya lagunya berada di playlist yang diinginkan,1
